tarih,sehir,otomobil_sayisi,ev_sayisi,istasyon_sayisi,istasyon_doluluk_orani
2025_10,Adana,442508,8094,189,2.33
2025_11,Adana,444536,8446,190,2.25
2025_12,Adana,446702,8487,199,2.34
2026_01,Adana,449078,8982,207,2.3
2026_02,Adana,452772,9508,218,2.29
2026_03,Adana,455042,10011,222,2.22
2026_04,Adana,456937,10509,224,2.24
2025_10,Adıyaman,68524,1254,29,2.31
2025_11,Adıyaman,68936,131,28,2.14
2025_12,Adıyaman,69339,1317,28,2.13
2026_01,Adıyaman,69734,1395,29,2.08
2026_02,Adıyaman,70341,1477,29,1.96
2026_03,Adıyaman,70781,1557,29,1.86
2026_04,Adıyaman,71080,1634,29,1.86
2025_10,Afyonkarahisar,114365,2092,156,7.46
2025_11,Afyonkarahisar,115031,2186,159,7.27
2025_12,Afyonkarahisar,115729,2199,159,7.23
2026_01,Afyonkarahisar,116419,2328,159,6.83
2026_02,Afyonkarahisar,117442,2466,159,6.45
2026_03,Afyonkarahisar,118124,2599,159,6.12
2026_04,Afyonkarahisar,118642,2728,161,6.2
2025_10,Aksaray,85648,1568,52,3.32
2025_11,Aksaray,86145,1637,52,3.18
2025_12,Aksaray,86598,1645,52,3.16
2026_01,Aksaray,87151,1743,50,2.87
2026_02,Aksaray,183032,3844,52,1.35
2026_03,Aksaray,88275,1942,55,2.83
2026_04,Aksaray,88581,2037,55,2.84
2025_10,Amasya,74798,1369,46,3.36
2025_11,Amasya,75137,1428,46,3.22
2025_12,Amasya,75455,1434,46,3.21
2026_01,Amasya,75835,1517,46,3.03
2026_02,Amasya,76301,1602,46,2.87
2026_03,Amasya,76550,1684,46,2.73
2026_04,Amasya,76779,1765,46,2.74
2025_10,Ankara,2105216,38526,1530,3.97
2025_11,Ankara,2117987,40242,1577,3.92
2025_12,Ankara,2131784,40504,1627,4.02
2026_01,Ankara,2147370,42947,1682,3.92
2026_02,Ankara,2168210,45532,1735,3.81
2026_03,Ankara,2180956,47981,1777,3.7
2026_04,Ankara,2190974,50392,1825,3.8
2025_10,Antalya,736496,13479,847,6.28
2025_11,Antalya,740265,14065,866,6.16
2025_12,Antalya,744297,14142,872,6.17
2026_01,Antalya,748861,14977,868,5.8
2026_02,Antalya,756254,15881,872,5.49
2026_03,Antalya,759753,16715,886,5.3
2026_04,Antalya,762400,17535,910,5.45
2025_10,Ardahan,4792,88,8,9.11
2025_11,Ardahan,4834,92,8,8.7
2025_12,Ardahan,4891,93,8,8.6
2026_01,Ardahan,4955,99,8,8.08
2026_02,Ardahan,22289,468,8,1.71
2026_03,Ardahan,5050,111,8,7.21
2026_04,Ardahan,5069,116,7,6.31
2025_10,Artvin,20912,383,24,6.27
2025_11,Artvin,21029,400,24,6
2025_12,Artvin,21145,402,24,5.97
2026_01,Artvin,21267,425,24,5.65
2026_02,Artvin,21480,451,24,5.32
2026_03,Artvin,21586,475,24,5.05
2026_04,Artvin,21699,499,24,5.05
2025_10,Aydın,234084,4286,191,4.46
2025_11,Aydın,235184,4468,193,4.32
2025_12,Aydın,236472,4493,196,4.36
2026_01,Aydın,237856,4757,201,4.22
2026_02,Aydın,239892,5038,208,4.13
2026_03,Aydın,241017,5302,211,3.98
2026_04,Aydın,241946,5564,214,4.04
2025_10,Ağrı,11003,201,15,7.46
2025_11,Ağrı,11057,210,15,7.14
2025_12,Ağrı,11115,211,15,7.11
2026_01,Ağrı,11213,224,15,6.7
2026_02,Ağrı,11326,238,16,6.72
2026_03,Ağrı,11394,251,16,6.37
